datetime,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1672916400000,16824.20000000,16824.20000000,16824.20000000,16824.20000000,0.00600000,1672919999999,100.94520000,1,0.00000000,0.00000000,0
1672920000000,16831.79000000,16831.79000000,16817.49000000,16825.27000000,0.27208100,1672923599999,4576.15757728,9,0.00196100,33.00017031,0
1672923600000,16824.95000000,16825.17000000,16779.97000000,16779.98000000,2.04443100,1672927199999,34346.96877272,48,0.85056900,14287.67730286,0
1672927200000,16771.55000000,16820.01000000,16762.19000000,16816.57000000,2.21003500,1672930799999,37077.55305553,85,0.98895200,16592.16403422,0
1672930800000,16826.22000000,16866.82000000,16826.22000000,16866.82000000,0.62090900,1672934399999,10463.65926433,35,0.14871300,2506.11400240,0
1672934400000,16835.92000000,16835.92000000,16828.53000000,16828.93000000,0.29825900,1672937999999,5020.20475860,11,0.00600000,101.00608812,0
1672938000000,16825.13000000,16827.99000000,16816.48000000,16816.48000000,0.02968500,1672941599999,499.41055207,4,0.00896500,150.79385847,0
1672941600000,16802.94000000,16836.26000000,16800.00000000,16836.26000000,3.02164600,1672945199999,50823.76226519,67,2.70969800,45574.44071755,0
1672945200000,16841.42000000,16862.08000000,16825.38000000,16862.08000000,0.21422100,1672948799999,3608.37683205,15,0.09904800,1670.07080226,0
1672948800000,16868.32000000,16868.33000000,16842.11000000,16847.50000000,0.30300700,1672952399999,5106.68064148,34,0.26046700,4390.15988208,0
1672952400000,16853.00000000,16853.00000000,16826.75000000,16835.76000000,1.25809300,1672955999999,21174.72814230,40,0.04468200,752.79831000,0
1672956000000,16840.00000000,16840.03000000,16823.09000000,16823.09000000,0.70978400,1672959599999,11943.07666925,12,0.00089900,15.13916000,0
1672959600000,16835.02000000,16835.04000000,16818.86000000,16820.11000000,0.74729100,1672963199999,12575.23332145,34,0.58113900,9780.38090901,0
1672963200000,16820.77000000,16858.01000000,16820.77000000,16858.01000000,0.74874500,1672966799999,12603.54276721,31,0.58087600,9779.15589811,0
1672966800000,16855.55000000,16855.55000000,16821.07000000,16821.07000000,0.23618700,1672970399999,3976.70970496,11,0.00188200,31.72214510,0
1672970400000,16800.91000000,16831.60000000,16799.01000000,16831.60000000,0.13286300,1672973999999,2234.05810540,24,0.06929700,1165.63364259,0
1672974000000,16828.17000000,16831.85000000,16817.59000000,16827.02000000,0.09748800,1672977599999,1640.72299656,17,0.05841900,983.29603146,0
1672977600000,16821.74000000,16821.74000000,16804.07000000,16817.50000000,0.55501500,1672981199999,9334.26471220,32,0.05919000,995.45642630,0
1672981200000,16816.00000000,16816.00000000,16791.40000000,16798.46000000,0.03446000,1672984799999,578.80340130,4,0.00119000,19.99016740,0
1672984800000,16804.20000000,16805.06000000,16779.10000000,16795.98000000,0.18708000,1672988399999,3141.02383670,33,0.11188900,1878.82763448,0
1672988400000,16777.38000000,16792.11000000,16777.35000000,16788.18000000,0.01860100,1672991999999,312.17749110,8,0.00718800,120.65536668,0
1672992000000,16794.57000000,16794.57000000,16794.57000000,16794.57000000,0.00385700,1672995599999,64.77665649,1,0.00000000,0.00000000,0
1672995600000,16777.35000000,16781.07000000,16758.92000000,16781.07000000,0.06707500,1672999199999,1124.78429390,17,0.00060800,10.20289056,0
1672999200000,16779.77000000,16779.78000000,16767.01000000,16767.02000000,0.00878900,1673002799999,147.39735836,5,0.00742700,124.54330564,0
1673002800000,16750.00000000,16750.00000000,16720.05000000,16736.75000000,2.55228200,1673006399999,42698.67498044,70,1.87392000,31352.02125649,0
1673006400000,16735.39000000,16738.53000000,16713.57000000,16713.57000000,0.09695600,1673009999999,1621.61723784,13,0.05695600,952.98228784,0
1673010000000,16712.41000000,16800.00000000,16685.05000000,16759.45000000,5.19639500,1673013599999,87008.51371208,152,3.03864500,50855.88630791,0
1673013600000,16754.59000000,16771.87000000,16715.34000000,16715.34000000,1.83426200,1673017199999,30673.98075366,15,0.02459100,412.30859466,0
1673017200000,16746.84000000,16833.24000000,16746.84000000,16833.22000000,0.78448400,1673020799999,13174.72997147,30,0.22524700,3774.34406471,0
1673020800000,16830.45000000,16830.51000000,16807.53000000,16809.20000000,0.40501000,1673024399999,6810.57720562,12,0.18328900,3080.92284292,0
1673024400000,16808.25000000,16811.94000000,16808.25000000,16811.94000000,0.00707700,1673027999999,118.97412525,2,0.00600000,100.87164000,0
1673028000000,16825.00000000,16851.73000000,16825.00000000,16847.49000000,0.17913300,1673031599999,3014.86240727,14,0.12955700,2180.43717421,0
1673031600000,16861.36000000,16950.00000000,16855.30000000,16950.00000000,2.43409300,1673035199999,41144.57390381,76,0.96127900,16227.64814181,0
1673035200000,16955.38000000,17014.65000000,16888.12000000,16888.12000000,1.80337300,1673038799999,30632.19679739,69,0.87786000,14915.76740919,0
1673038800000,16883.89000000,16934.20000000,16883.89000000,16912.61000000,0.50576800,1673042399999,8557.64160260,19,0.05125000,866.28438250,0
1673042400000,16935.33000000,16959.24000000,16935.33000000,16950.54000000,1.61662100,1673045999999,27403.61100277,57,1.57315300,26667.01517384,0
1673046000000,16950.54000000,16972.39000000,16946.31000000,16948.20000000,0.54370300,1673049599999,9216.21203209,35,0.29128900,4938.14401755,0
1673049600000,16933.24000000,16972.19000000,16933.24000000,16972.19000000,0.25253200,1673053199999,4277.81876751,17,0.02536400,429.80333889,0
1673053200000,16967.82000000,16973.12000000,16941.85000000,16941.85000000,1.48581000,1673056799999,25178.92844892,14,0.00979600,166.03978944,0
1673056800000,16946.14000000,16946.14000000,16928.24000000,16928.24000000,0.03146300,1673060399999,532.82406844,8,0.01146300,194.25156844,0
1673060400000,16930.88000000,16950.76000000,16930.88000000,16935.53000000,0.01404900,1673063999999,237.95182240,6,0.00453800,76.89483272,0
1673064000000,16939.94000000,16939.94000000,16935.00000000,16935.00000000,0.01199800,1673067599999,203.20099954,3,0.00000000,0.00000000,0
1673067600000,16936.69000000,16936.69000000,16932.00000000,16935.31000000,0.44870800,1673071199999,7597.75131566,8,0.03601600,609.97800496,0
1673071200000,16925.73000000,16932.01000000,16924.50000000,16932.01000000,0.03686900,1673074799999,624.04234091,10,0.02107000,356.64011264,0
1673074800000,16932.63000000,16942.91000000,16932.63000000,16942.91000000,0.01695000,1673078399999,287.07762814,6,0.01695000,287.07762814,0
1673078400000,16939.72000000,16939.72000000,16925.69000000,16931.06000000,0.37189100,1673081999999,6298.98729634,17,0.33886200,5739.89978179,0
1673082000000,16927.90000000,16927.90000000,16927.87000000,16927.87000000,0.00677100,1673085599999,114.61878777,2,0.00677100,114.61878777,0
1673085600000,16914.90000000,16914.90000000,16914.90000000,16914.90000000,0.04723700,1673089199999,799.00913130,2,0.04723700,799.00913130,0
1673089200000,16909.50000000,16909.50000000,16909.50000000,16909.50000000,0.00600000,1673092799999,101.45700000,1,0.00600000,101.45700000,0
1673092800000,16915.33000000,16915.33000000,16911.74000000,16911.74000000,0.01854800,1673096399999,313.68399373,3,0.01854800,313.68399373,0
1673096400000,16921.33000000,16928.30000000,16916.37000000,16920.44000000,0.16414000,1673099999999,2778.08905155,10,0.12036600,2037.41760122,0
1673100000000,16918.56000000,16931.96000000,16918.32000000,16918.32000000,1.18400000,1673103599999,20039.05404043,23,0.17800000,3012.93814124,0
1673103600000,16936.07000000,16936.07000000,16929.14000000,16929.14000000,0.03806200,1673107199999,644.53710668,3,0.02600000,440.33782000,0
1673107200000,16929.09000000,16929.09000000,16910.33000000,16910.33000000,0.10369600,1673110799999,1754.51027639,6,0.10180900,1722.60048368,0
1673110800000,16920.64000000,16929.09000000,16915.02000000,16928.63000000,0.11328000,1673114399999,1916.91424927,13,0.10942600,1851.72326891,0
1673114400000,16929.09000000,16932.22000000,16928.48000000,16932.22000000,0.01455600,1673117999999,246.43370545,4,0.00744300,126.02142721,0
1673118000000,16932.22000000,16937.08000000,16932.22000000,16937.08000000,0.03554700,1673121599999,601.99453230,3,0.02197700,372.15835670,0
1673121600000,16945.71000000,16945.80000000,16945.71000000,16945.80000000,0.12628200,1673125199999,2139.94185567,5,0.12628200,2139.94185567,0
1673125200000,16943.06000000,16943.06000000,16931.02000000,16931.02000000,0.03416000,1673128799999,578.46082566,6,0.00121600,20.60276096,0
1673128800000,16930.50000000,16933.69000000,16915.90000000,16933.69000000,0.65953800,1673132399999,11161.21885903,15,0.02224200,376.63574272,0
1673132400000,16936.33000000,16943.40000000,16936.33000000,16937.71000000,0.31730300,1673135999999,5374.75929297,16,0.31622400,5356.48350388,0
1673136000000,16950.46000000,16950.46000000,16913.96000000,16921.15000000,0.15109400,1673139599999,2557.96412844,17,0.05210800,882.41220102,0
1673139600000,16921.67000000,16924.77000000,16919.03000000,16924.77000000,0.14605000,1673143199999,2471.31445661,24,0.10285800,1740.54733418,0
1673143200000,16927.73000000,16927.73000000,16914.23000000,16914.23000000,0.00671700,1673146799999,113.69330241,2,0.00595700,100.83848761,0
1673146800000,16928.43000000,16937.80000000,16928.43000000,16937.80000000,0.06140400,1673150399999,1040.03784885,3,0.06140400,1040.03784885,0
1673150400000,16941.17000000,16941.17000000,16931.88000000,16931.88000000,0.00867100,1673153999999,146.87114248,2,0.00590000,99.95290300,0
1673154000000,16935.49000000,16941.40000000,16935.49000000,16940.00000000,0.21465700,1673157599999,3636.18991713,16,0.20391400,3454.20349713,0
1673157600000,16941.14000000,16941.14000000,16930.28000000,16930.28000000,0.07188000,1673161199999,1217.24502850,8,0.00437900,74.18211263,0
1673161200000,16949.37000000,16950.00000000,16940.23000000,16950.00000000,0.10965300,1673164799999,1858.36494470,11,0.10276800,1741.70302115,0
1673164800000,16953.32000000,16967.47000000,16941.98000000,16943.90000000,1.62796500,1673168399999,27606.73066582,31,1.50909000,25592.69130916,0
1673168400000,16939.89000000,16959.90000000,16929.52000000,16929.53000000,0.14813200,1673171999999,2510.76065712,22,0.08045900,1363.90601653,0
1673172000000,16927.23000000,16927.23000000,16927.23000000,16927.23000000,0.00117800,1673175599999,19.94027694,1,0.00000000,0.00000000,0
1673175600000,16931.56000000,16941.07000000,16931.49000000,16941.07000000,0.03719100,1673179199999,629.75768556,8,0.00708400,119.99982554,0
1673179200000,16929.93000000,16929.93000000,16918.12000000,16918.12000000,0.00206500,1673182799999,34.94636965,2,0.00088500,14.98298805,0
1673182800000,16914.91000000,16936.47000000,16914.91000000,16936.47000000,0.00249500,1673186399999,42.23079821,3,0.00131200,22.22045968,0
1673186400000,16925.53000000,16949.56000000,16925.53000000,16949.56000000,0.00314000,1673189999999,53.19326300,2,0.00196000,33.22113760,0
1673190000000,16941.40000000,17014.00000000,16941.34000000,16999.36000000,2.43383500,1673193599999,41373.43692918,47,1.79257700,30478.80927928,0
1673193600000,16987.19000000,16987.20000000,16931.79000000,16931.79000000,0.38652000,1673197199999,6555.28205986,27,0.08173100,1386.27387431,0
1673197200000,16930.28000000,16944.42000000,16921.13000000,16923.62000000,0.18615800,1673200799999,3151.53172752,17,0.12083200,2046.03576688,0
1673200800000,16930.95000000,16934.48000000,16925.87000000,16925.87000000,0.01050300,1673204399999,177.82104045,3,0.00609800,103.26258310,0
1673204400000,16921.88000000,16935.83000000,16921.88000000,16931.52000000,0.08690300,1673207999999,1471.45403346,10,0.07779400,1317.26509827,0
1673208000000,16922.86000000,16984.61000000,16920.57000000,16966.14000000,0.28375700,1673211599999,4812.35050132,23,0.19040600,3232.46062427,0
1673211600000,16966.12000000,16980.73000000,16955.80000000,16955.80000000,0.59121500,1673215199999,10036.16769232,19,0.56082700,9520.89813432,0
1673215200000,16955.50000000,16960.50000000,16948.52000000,16960.50000000,0.31015400,1673218799999,5258.60243323,19,0.27008500,4579.41306914,0
1673218800000,16985.29000000,17154.87000000,16985.29000000,17128.14000000,4.28703500,1673222399999,73224.51745416,156,2.19752100,37532.18852356,0
1673222400000,17131.72000000,17190.25000000,17102.21000000,17140.03000000,1.13086700,1673225999999,19388.70451464,42,0.76168300,13059.83760118,0
1673226000000,17168.73000000,17201.65000000,17150.74000000,17182.57000000,1.02070800,1673229599999,17538.35783116,39,0.64947500,11163.96966808,0
1673229600000,17178.45000000,17244.21000000,17162.82000000,17184.52000000,4.92975200,1673233199999,84801.55578435,157,2.51948000,43356.58587172,0
1673233200000,17185.51000000,17211.69000000,17178.91000000,17194.43000000,1.42214900,1673236799999,24451.86571032,56,0.93331700,16046.72307257,0
